family	stage	commit	parent	paths	hunk_or_change	invariant_or_guard	evidence	result
ICON	plug-parity	3667641179e2829151004293ae921b5e0a17d8dd	32b0c3729ab89e7304459b1670d7d90ea8697823	app/tests/static-web-manifest.test.mjs;app/web/vendor/icons.svg;app/web/vendor/manifest.json;tools/ui-vendor/lucide/sources.json	plug source is admitted and sprite/manifest are rebuilt together	ui-controls allowlist, SVG symbols, manifest names, source record and output hashes remain equal under parity tests	evidence/delivery-rollup-20260910/merge-audit/targeted-154.log; evidence/delivery-rollup-20260910/fe05a/independent-verification.md	authorized ICON hunk; baseline shared test blob changes
ATT	ATT-scoped	9db6fc4362a07dc8ff20e1914e2ac471f20b62c1	a579929edd66544e6aa7cd8cd7d2399fae8265d3	app/tests/home-presentation.test.mjs;app/web/attention-view.mjs;app/web/styles.css	Six query views, typed action descriptors, stale/retry/focus/refusal handling and mobile 44px controls	Registry remains server ordered; actions are advertised by the object; no scheduler/write is inferred from read; only needs_you receives Review styling	evidence/delivery-rollup-20260910/attention/independent-verification.md; evidence/delivery-rollup-20260910/attention/independent-browser-verification.json; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	authorized later; 116 browser + 29 targeted
ATT	ATT-CSS-shared	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	aa2c55b74dd872c9f9156b09dcdf9b7f07075c8a	app/web/styles.css	Accepted ATT merge retains the 37-path ATT delta; its CSS is a later shared hunk in candidate	ATT hunk is limited to six-view strip/action editor/mobile target around candidate lines 5498-5579; FE05a/SK selectors remain	evidence/delivery-rollup-20260910/attention/independent-verification.md; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	37/37 exact at T055; one shared CSS delta at T4003
Spark	SP1-shared	0082fef883e49fd19538c369f20a04c111d8c602	0c60f4ffe0e4d939712df3910d2404c226e8bfdf	app/web/app.mjs;app/web/index.html;app/web/styles.css	Read-only Spark maintenance surface over synthetic derivations	No write API, no new session/binding, no unread badge; quiet/unavailable semantics remain neutral and existing route reuse is explicit	evidence/spark-delivery-20260910/browser-regressions.json; evidence/delivery-rollup-20260910/merge-audit/spark-browser-6.log; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	authorized later; candidate Spark hunk
Spark	SP1-static	63840a7df22914e7a13cffcee0f646b8ded6ab9f	7dd85a10dcbb7082a152952d67206e5425d525e7	app/server/index.mjs;app/web/app.mjs	Static registration and host seam for Spark modules	Only spark-view.mjs and spark-projection.mjs are added to the static web allowlist; Core remains untouched; opening Matter chooses an existing bound session	evidence/delivery-rollup-20260910/merge-audit/spark-browser-6.log; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	authorized later; app/server change is expected
Spark	SP1-repair	eccacd04f715cc7502f755b4e3df71e5353bcce2	9761303450280c8100aec4b0c4617f9d2c55e7bb	app/web/spark-view.mjs;evidence/spark-delivery-20260910/README.md	scope cancellation, retry identity, focus restoration and modal close	A stale project query cannot remain clickable; retry keeps offset/snapshot; route transition closes Spark; focus follows existing identity	evidence/delivery-rollup-20260910/merge-audit/spark-browser-6.log	authorized later repair; 5/6 exact in SP2 sequence
Spark	SP1-shape	20d8330dc6555d073a6bdec7ebf1e6bafc7aee99	eccacd04f715cc7502f755b4e3df71e5353bcce2	app/web/styles.css;evidence/spark-delivery-20260910/README.md;evidence/spark-delivery-20260910/lint-shapes.log	Use shared --radius-pill for Spark chips	Spark chip geometry follows accepted shape grammar; no semantic or layout change beyond token substitution	evidence/delivery-rollup-20260910/merge-audit/spark-browser-6.log; evidence/delivery-rollup-20260910/fe05a/logs/lint-shapes.log	authorized later repair; one shared CSS hunk
BASELINE-LATER	server	63840a7df22914e7a13cffcee0f646b8ded6ab9f	7dd85a10dcbb7082a152952d67206e5425d525e7	app/server/index.mjs:24	Static list adds spark-view.mjs and spark-projection.mjs	targeted static-web-manifest check passes; app/core remains byte equal	evidence/delivery-rollup-20260910/merge-audit/targeted-154.log; evidence/delivery-rollup-20260910/merge-audit/spark-browser-6.log	baseline shared hunk explained
BASELINE-LATER	home-test	9db6fc4362a07dc8ff20e1914e2ac471f20b62c1	a579929edd66544e6aa7cd8cd7d2399fae8265d3	app/tests/home-presentation.test.mjs:12,136-252	TinyDOM helper extraction supports ATT state/action tests	Home presentation and Attention tests use one helper; targeted suite remains 154/154	evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	baseline shared hunk explained
BASELINE-LATER	static-test	3667641179e2829151004293ae921b5e0a17d8dd	32b0c3729ab89e7304459b1670d7d90ea8697823	app/tests/static-web-manifest.test.mjs:22,29,77-158	Three-way icon parity and output hash tests	Static route and icon parity checks remain in targeted suite	evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	baseline shared hunk explained
BASELINE-LATER	app	0082fef883e49fd19538c369f20a04c111d8c602;63840a7df22914e7a13cffcee0f646b8ded6ab9f	0c60f4ffe0e4d939712df3910d2404c226e8bfdf;7dd85a10dcbb7082a152952d67206e5425d525e7	app/web/app.mjs:25,1573-1597,6020,6043,6468	Spark import/state, existing Matter-bound session lookup, nav and open wiring	Spark browser 6/6 and targeted suite 154/154	evidence/delivery-rollup-20260910/merge-audit/spark-browser-6.log; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	baseline shared hunk explained
BASELINE-LATER	attention	9db6fc4362a07dc8ff20e1914e2ac471f20b62c1	a579929edd66544e6aa7cd8cd7d2399fae8265d3	app/web/attention-view.mjs:1-546	ATT typed actions, views, refusal copy and focus behavior	ATT 116 browser assertions + 29 targeted tests; Review styling remains needs_you-only	evidence/delivery-rollup-20260910/attention/independent-browser-verification.json; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	baseline shared hunk explained
BASELINE-LATER	home	0879b32727a379d59de3499c603e84cb8b4e6e22	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	app/web/home-view.mjs:360-370	M-15 gutter, M-16 action anatomy	Baseline 7/7 and browser checks; visible label/trailing icon and 44px touch invariant	evidence/delivery-rollup-20260910/fe05a/independent-baseline-checks.json; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	baseline shared hunk explained
BASELINE-LATER	settings	915cca9d0225e2e581f764849cfc8dd12569f304	0879b32727a379d59de3499c603e84cb8b4e6e22	app/web/settings-view.mjs:443,465	WK-128 context-card anatomy	Radius derivation/focus offset shape checks remain 8/8	evidence/delivery-rollup-20260910/fe05a/independent-shape-checks.json; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	baseline shared hunk explained
BASELINE-LATER	styles	0879b32727a379d59de3499c603e84cb8b4e6e22;915cca9d0225e2e581f764849cfc8dd12569f304;c1a4052e2f3c3276ff1067d9f2ba39c8b2c051e8;9db6fc4362a07dc8ff20e1914e2ac471f20b62c1;0082fef883e49fd19538c369f20a04c111d8c602;20d8330dc6555d073a6bdec7ebf1e6bafc7aee99	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f;0879b32727a379d59de3499c603e84cb8b4e6e22;915cca9d0225e2e581f764849cfc8dd12569f304;9db6fc4362a07dc8ff20e1914e2ac471f20b62c1;0c60f4ffe0e4d939712df3910d2404c226e8bfdf;eccacd04f715cc7502f755b4e3df71e5353bcce2	app/web/styles.css:5498-5580,5727-5761	FE05a tokens/density and shape; ATT strip/actions/mobile target; Spark dialog/chips	FE05a type 7/7 + shape 8/8; ATT 116/29; Spark 6/6; targeted 154	multiple independent checks and targeted-154.log	baseline shared hunk explained
BASELINE-LATER	index	0082fef883e49fd19538c369f20a04c111d8c602	0c60f4ffe0e4d939712df3910d2404c226e8bfdf	app/web/index.html:111-116	Spark nav button only, no badge	No synthetic unread count; browser verifies neutral read-only entry	evidence/delivery-rollup-20260910/merge-audit/spark-browser-6.log	baseline shared hunk explained
BASELINE-LATER	current-ledger	e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf	ab09b0dee05f73e8e615c0a5f9107a8ba15ff697	engineering/current.md	WK-163 icon ruling and provenance ledger	Docs only; icon canonical-family decision is recorded with evidence links	evidence/delivery-rollup-20260910/icon/logs/icon-parity-and-rebuild.log	baseline shared hunk explained
BASELINE-LATER	atlas	e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf	ab09b0dee05f73e8e615c0a5f9107a8ba15ff697	engineering/design/atlas/README.md	Iconography canonical-family/donor rule update	Docs only; no product authority or runtime change	evidence/delivery-rollup-20260910/icon/logs/icon-parity-and-rebuild.log	baseline shared hunk explained
BASELINE-LATER	sources	e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf	ab09b0dee05f73e8e615c0a5f9107a8ba15ff697	engineering/design/sources.md	S17 icon source ledger/WK-163 update	Docs only; source provenance remains explicit	evidence/delivery-rollup-20260910/icon/logs/icon-parity-and-rebuild.log	baseline shared hunk explained
